frame,percent_diff,ssim
33,57.1231,0.157232
34,47.5258,0.267516
35,47.5214,0.267510
36,47.5180,0.267565
37,54.2528,0.269245
38,54.2625,0.268389
39,54.2495,0.269005
40,54.2484,0.268899
41,54.3250,0.311064
42,54.3292,0.310845
43,54.3260,0.310861
44,58.1684,0.298433
