frame,percent_diff,ssim
33,4.7169,0.828786
34,5.1855,0.870628
35,5.1638,0.872693
36,5.0881,0.881289
37,2.8088,0.927411
38,2.6931,0.927689
39,2.6346,0.929808
40,2.8410,0.922672
41,0.7661,0.987816
42,0.7449,0.988603
43,0.7397,0.988600
44,5.7422,0.969029
