frame,percent_diff,ssim
33,12.4503,0.699234
34,8.2302,0.891630
35,8.2198,0.891665
36,8.2135,0.891693
37,9.7411,0.906317
38,9.7473,0.905850
39,9.7514,0.906048
40,9.7491,0.906018
41,9.7753,0.919348
42,9.7790,0.918991
43,9.7913,0.918824
44,10.7656,0.928067
