frame,percent_diff,ssim
33,4.7154,0.828574
34,5.2020,0.867709
35,5.1799,0.869952
36,5.1046,0.878535
37,2.8130,0.925340
38,2.6974,0.925354
39,2.6387,0.927500
40,2.8454,0.920407
41,0.7671,0.986622
42,0.7460,0.987314
43,0.7407,0.987417
44,5.7409,0.968686
