frame,percent_diff,ssim
33,10.3905,0.840945
34,7.9435,0.924218
35,7.9328,0.924242
36,7.9256,0.924249
37,9.5951,0.928849
38,9.5975,0.928442
39,9.6003,0.928677
40,9.5980,0.928672
41,9.7090,0.938319
42,9.7124,0.937961
43,9.7249,0.937787
44,10.6624,0.949994
