frame,percent_diff,ssim
33,35.2761,0.323691
34,34.8820,0.345968
35,37.0156,0.308573
36,37.4161,0.319062
37,35.5639,0.346201
38,35.0695,0.358742
39,35.5390,0.355572
40,35.2342,0.354027
41,36.1335,0.376720
42,36.5031,0.374494
43,36.2941,0.377630
44,11.7318,0.850289
