frame,percent_diff,ssim
33,7.3040,0.876579
34,10.3279,0.822561
35,10.0946,0.823729
36,10.1954,0.830229
37,10.9184,0.757245
38,10.6268,0.764698
39,9.7790,0.775969
40,9.6757,0.783422
41,8.7702,0.800326
42,8.6954,0.800336
43,8.8996,0.797893
44,3.4864,0.876161
