frame,percent_diff,ssim
33,35.2748,0.323790
34,34.8765,0.347489
35,37.0115,0.309816
36,37.4125,0.320321
37,35.5641,0.346690
38,35.0697,0.359351
39,35.5394,0.356250
40,35.2348,0.354717
41,36.1338,0.376826
42,36.5034,0.374595
43,36.2943,0.377718
44,11.7280,0.853332
